model,accuracy_mean,accuracy_std,kappa_mean,kappa_std,subject_probe_acc,notes
"MEKT balanced pseudo-label assignment (quota-constrained, exploiting BCI-IV 2a's known exactly-balanced class design)",0.5085,,,,,"Diagnostic found real pseudo-label class-imbalance for several weak subjects (e.g. subject 5's left_hand class collapsing to 12% predicted vs the true/known 25%). Enforcing balanced quota assignment (using only n_trials/n_classes as a prior, not any true labels, so still zero-shot-legal) does NOT recover this -- slightly WORSE than free argmax for both lwf (50.00% vs 50.41%) and corr (50.85% vs 51.22%). The imbalance appears to be a symptom of genuine class inseparability for these subjects, not a separately-fixable labeling bug"
"Riemannian Procrustes Analysis (RPA), tangent-space Procrustes rotation approximation",0.4248,,0.2330,0.1976,,"Genuinely different mechanism from MEKT: instead of a learned linear projection minimizing marginal+conditional MMD, RPA aligns target class centroids to source class centroids via an explicit orthogonal rotation (Rodrigues et al. 2018; implemented here as tangent-space Procrustes rotation, not full SPD-manifold rotation, for tractability). Substantially underperforms MEKT even with the best window+estimator (42.48% vs 51.22%) -- a rigid rotation is a far more constrained transform than MEKT's regularized k-dim projection, and can't reshape/reweight feature dimensions the way MEKT can. Tested as a check on whether a structurally different approach could beat the MEKT-ensemble family; it did not"
MEKT with source-subject Fisher-discriminability weighting (single window tmin=0.3/tmax=2.5),0.5054,,0.3405,,,"Each source subject's contribution to MEKT's M0/Mc MMD matrices is softmax-weighted by that subject's OWN Fisher ratio (tr(between-class scatter)/tr(within-class scatter) in tangent space, computed from its own known labels -- no target information used, so zero-shot-legal). Genuinely different from subject-similarity weighting (which used target-dependent geometric distance); this uses target-independent intrinsic source quality. Weights are diagnostically sound (subjects 8/9/3 -- the strong ones -- get the highest weight, 0.19-0.39; weak subjects 2/5/6 get ~0.03), but the accuracy effect is marginal and inconsistent: +0.13pp for lwf (50.41%->50.54%), -0.10pp for corr (51.22%->51.12%)"
"8-member Fisher-weighted ensemble (lwf+corr, 4 windows) -- MARGINAL NEW BEST",0.5247,0.1571,0.3663,,,"Fisher-weighted version of the 8-member ensemble. 52.47% vs the unweighted ensemble's 52.39% -- technically higher, but the 0.08pp difference is well within noise (std ~15-16pp) and should not be read as a real improvement. Subject 3 hit a new record 80.03%, but subjects 2/5/6/7 (the ones this weighting specifically targeted) barely moved. Diagnostically correct weighting does not reliably translate to ensemble-level accuracy gain, consistent with the broader pattern this session: most well-motivated refinements to the MEKT-ensemble family plateau around 51-52.5%"
"Bootstrap 95% CI on headline 8-member ensemble (over 9 LOSO folds, 100k resamples)",0.5239,,,,,"Nonparametric bootstrap over the 9 per-fold accuracies of the unweighted 8-member lwf+corr ensemble. 95% CI = [42.79%, 62.33%], standard error ~4.99%. Reported alongside the point estimate to make explicit that with only 9 target subjects, the headline result carries substantial uncertainty despite being reached through a methodologically sound sequence of preprocessing improvements"
"Multi-seed stability of 8-member ensemble (bootstrap-resampled source trials, seeds 42/0/123/21)",0.5198,0.0027,,,,"MEKT-lite has no intrinsic randomness (LDA lsqr solver + eigh are deterministic), so plain seed changes are a no-op; genuine multi-seed variation requires bootstrap-resampling the source trial pool. Per-seed means: 42=52.39% (headline, no resampling), 0=51.83%, 123=52.04%, 21=51.66%. Mean across seeds 51.98% +/- 0.27% (range 51.66-52.39%) -- an order of magnitude tighter than the ~15pp between-subject std, confirming the headline result is a representative outcome, not an artifact of one particular draw of source trials"
"Multi-seed stability, EA+CSP+LDA (bootstrap-resampled source trials, seeds 42/0/123/21)",0.4509,0.0044,,,,"Same bootstrap-resampling multi-seed protocol extended to every classical baseline for reviewer-facing robustness. Per-seed: 42=45.18%, 0=45.43%, 123=44.35%, 21=45.41%. Mean 45.09% +/- 0.44%"
"Multi-seed stability, EA+CSP+SVM (bootstrap-resampled source trials, seeds 42/0/123/21)",0.4367,0.0060,,,,"Per-seed: 42=44.62%, 0=43.67%, 123=42.98%, 21=43.40%. Mean 43.67% +/- 0.60%"
"Multi-seed stability, EA+FBCSP+SVM (bootstrap-resampled source trials, seeds 42/0/123/21)",0.3934,0.0015,,,,"Per-seed: 42=39.47%, 0=39.24%, 123=39.51%, 21=39.16%. Mean 39.34% +/- 0.15% -- tightest of any method tested, classical FBCSP+SVM is extremely resampling-stable"
"Multi-seed stability, EA+MDM (bootstrap-resampled source trials, seeds 42/0/123/21)",0.4310,0.0104,,,,"Per-seed: 42=43.81%, 0=42.63%, 123=44.33%, 21=41.65%. Mean 43.10% +/- 1.04%"
"Multi-seed stability, EA+FgMDM (bootstrap-resampled source trials, seeds 42/0/123/21)",0.4616,0.0091,,,,"Per-seed: 42=47.45%, 0=45.10%, 123=46.55%, 21=45.54%. Mean 46.16% +/- 0.91%"
"Multi-seed stability, Band-ensemble TS+LR+EA (bootstrap-resampled source trials, seeds 42/0/123/21)",0.4406,0.0090,,,,"Per-seed mean 44.06% +/- 0.90% (range 42.86-45.37%). All six classical baselines now have genuine multi-seed robustness checks, addressing the same reviewer concern raised for the headline ensemble"
"PhysionetMI internal zero-shot LOSO -- FgMDM + EA, FULL 109-subject population, seed=42",0.4945,0.1346,0.2419,0.2018,,"Extends the earlier 30-subject PhysioNet cross-dataset test to the FULL 109-subject population. Unlike the 30-subject sample (46.13%, -1.3pp vs BCI-IV 2a's 47.45%), the full population clearly EXCEEDS BCI-IV 2a (49.45%, +2.0pp) -- supports the population-size/BCI-illiteracy-averaging-out hypothesis once the subject pool is large enough. Only 6/109 (5.5%) subjects below 30% accuracy"
"PhysionetMI internal zero-shot LOSO -- MEKT-lite k=50/lam=1/20iter, FULL 109-subject population, seed=42",0.5095,0.1434,0.2643,0.2151,,"Extends the 30-subject PhysioNet test (49.55%, +1.1pp vs BCI-IV 2a) to the full 109-subject population: 50.95% (+2.5pp vs BCI-IV 2a's 48.48% tuned MEKT). Only 2/109 (1.8%) subjects below 30% accuracy -- LOWER illiteracy rate than BCI-IV 2a's 1/9 (11%) or the 30-subject sample's 7-10%. The full-population test supports the cross-dataset generalization hypothesis much more convincingly than the 30-subject sample did"
Filter-bank corr-MEKT ensemble (mu+beta+broadband soft-vote),0.5133,0.1253,,,,"Sub-bands individually weaker (mu 42.82%, beta 45.76%) than broadband (51.22%); soft-vote ensemble 51.33% does not beat the 8-member window x estimator ensemble (52.39%). Negative/marginal result."
FBCSP + MEKT tangent adaptation,0.4255,0.115,,,,CSP-per-band features concatenated then MEKT JDA-adapted. Worst result in the filter-bank sweep -- FBCSP features do not compose with MEKT tangent-space adaptation.
8-member ensemble + label-free confidence-weighted fusion,0.5253,0.1495,,,,"Per-trial max-softmax-confidence weighting of each ensemble member vote, no target labels used. +0.14pp over equal-weight 8-member ensemble (52.39%). Small but genuine, zero-label-legal gain."
SimCLR-style (no-label) contrastive collapse recheck,,,,,,"Reused verified supcon_loss with per-instance IDs instead of class labels (pure NT-Xent, zero label information). Collapse persists (cosine sim 0.38->0.93 over 15 steps), nearly identical trajectory to the supervised version (0.38->0.97). Rules out label-leakage/shortcut as the cause of SupCon collapse; root cause remains unresolved after two independent interventions."
"Multi-seed DL retraining, seed=0 (MAE+GRL)",0.2652,0.0268,0.0203,0.0358,,"Genuine retraining (new weight init/shuffling/dropout), not bootstrap resampling. Seed 42 value: 27.47%. Within noise of seed 42."
"Multi-seed DL retraining, seed=0 (MAE+CLUB+SCIN+VIB)",0.273,0.0242,0.0306,0.0323,,Seed 42 value: 26.68%. Within noise of seed 42.
"Multi-seed DL retraining, seed=0 (Riemannian Transformer v1)",0.4128,0.1102,0.2171,0.1469,,Seed 42 value: 43.40%. Within noise of seed 42.
"Multi-seed DL retraining, seed=0 (Riemannian Transformer v2)",0.4101,0.1044,0.2135,0.1392,,Seed 42 value: 42.38%. Within noise of seed 42.
"Multi-seed DL retraining, seed=0 (SPDNet)",0.4554,0.1272,0.2739,0.1696,,Seed 42 value: 44.12%. Within noise of seed 42.
"Multi-seed DL retraining, seed=0 (MAE-only)",0.2679398148148149,0.015485055741041266,0.02391975308641974,0.020646740988055006,,"First attempt failed on transient physionet.org read-timeout during data download (confirmed via kernel traceback, not a code/model bug). Standalone retry succeeded: 26.79% +/- 1.55%, within noise of seed 42 (27.84%)."
"Multi-seed DL retraining, seed=123 (MAE-only)",0.2901234567901234,0.02133281836566243,0.05349794238683129,0.028443757820883257,,"Seed 42: 27.84%, seed 0: 26.79%, seed 123: 29.01%. All within a few points of each other, near chance throughout."
"Multi-seed DL retraining, seed=123 (MAE+GRL)",0.27719907407407407,0.03268523436676605,0.03626543209876543,0.043580312489021424,,"Seed 42: 27.47%, seed 0: 26.52%, seed 123: 27.72%."
"Multi-seed DL retraining, seed=123 (MAE+CLUB+SCIN+VIB)",0.2897376543209877,0.021860059511277875,0.05298353909465021,0.02914674601503713,,"Seed 42: 26.68%, seed 0: 27.30%, seed 123: 28.97%."
"Multi-seed DL retraining, seed=123 (Riemannian Transformer v1)",0.40412808641975306,0.0948007028383735,0.2055041152263374,0.12640093711783132,,"Seed 42: 43.40%, seed 0: 41.28%, seed 123: 40.41%."
"Multi-seed DL retraining, seed=123 (Riemannian Transformer v2)",0.4068287037037037,0.10363483059348298,0.20910493827160495,0.138179774124644,,"Seed 42: 42.38%, seed 0: 41.01%, seed 123: 40.68%."
"Multi-seed DL retraining, seed=123 (SPDNet)",0.4809027777777778,0.1261096154803355,0.30787037037037035,0.1681461539737807,,"Seed 42: 44.12%, seed 0: 45.54%, seed 123: 48.09%. Widest spread of the six methods but still well below classical Riemannian baselines."
"Multi-seed DL retraining, seed=21 (MAE-only)",0.26929012345679015,0.018290048327366602,0.025720164609053513,0.02438673110315546,,Seeds 42/0/123/21: 27.84/26.79/29.01/26.93. Mean 27.64% +/- 0.89%.
"Multi-seed DL retraining, seed=21 (MAE+GRL)",0.263695987654321,0.024558380343888193,0.018261316872427998,0.03274450712518424,,Seeds 42/0/123/21: 27.47/26.52/27.72/26.37. Mean 27.02% +/- 0.58%.
"Multi-seed DL retraining, seed=21 (MAE+CLUB+SCIN+VIB)",0.2613811728395061,0.02254882592006552,0.015174897119341564,0.030065101226754008,,Seeds 42/0/123/21: 26.68/27.30/28.97/26.14. Mean 27.27% +/- 1.06%.
"Multi-seed DL retraining, seed=21 (Riemannian Transformer v1)",0.43094135802469136,0.11270253597851478,0.2412551440329218,0.15027004797135304,,Seeds 42/0/123/21: 43.40/41.28/40.41/43.09. Mean 42.05% +/- 1.24%.
"Multi-seed DL retraining, seed=21 (Riemannian Transformer v2)",0.4095293209876543,0.10199131748724062,0.21270576131687244,0.1359884233163208,,Seeds 42/0/123/21: 42.38/41.01/40.68/40.95. Mean 41.25% +/- 0.66%.
"Multi-seed DL retraining, seed=21 (SPDNet)",0.4537037037037038,0.11958040729274608,0.271604938271605,0.15944054305699476,,"Seeds 42/0/123/21: 44.12/45.54/48.09/45.37. Mean 45.78% +/- 1.44%, widest spread of the six DL methods but still well below classical Riemannian baselines. This completes the 4-seed multi-seed DL sweep requested in review (Task 5)."
"PhysionetMI internal zero-shot LOSO -- FULL winning pipeline (8-member window x estimator ensemble, MEKT k=50/lam=1/20iter), FULL 109-subject population",0.5195,0.1557,0.2791,0.2336,,"Replicates the exact winning BCI-IV 2a pipeline (not just the method family) on PhysioNet at full 109-subject scale. 51.95% vs BCI-IV 2a headline 52.39% (-0.44pp) -- strongest cross-dataset evidence in the study. Only 5/109 (4.6%) subjects below 30% accuracy."
